,k,inertia_scores,silhouette_scores
0,5,18875.046875,0.1287464
1,6,17518.212890625,0.14113659
2,7,16504.36328125,0.14789127
3,8,15684.1982421875,0.1507813
4,9,15123.9912109375,0.14893466
5,10,14612.712890625,0.14966345
6,11,14338.53125,0.1456982
7,12,13838.189453125,0.14779706
8,13,13559.1142578125,0.14622529
9,14,13233.2177734375,0.13607015
10,15,13017.923828125,0.13333207
11,16,12753.5771484375,0.13547878
12,17,12541.060546875,0.13330156
13,18,12303.1630859375,0.13601719
14,19,12197.0693359375,0.13080993
15,20,11908.193359375,0.13406497
